ID,Palabras_Clave,Emocion,Intensidad,Engagement,Engagement_Level,Tweet Creation Date,Prob_Emocion
513,"nuevo, podcast, arkano, visita, hablaremos",Alegría,Alta,962,Bajo,2023-10-19 14:37:33,0.966
514,"humano, fachero, planeta",Alegría,Media,10414,Alto,2023-10-20 18:41:37,0.64
515,"volkanovski, nooooooooooooooooooooooooooooooo",Neutral,Alta,5189,Medio,2023-10-21 20:08:09,0.79
516,"audio, número, indiscutible, hemos, vuelto",Alegría,Alta,4110,Medio,2023-10-22 13:36:07,0.997
517,"preguntáis, halloween, martes, semana, rincón",Neutral,Alta,6181,Medio,2023-10-27 14:14:44,0.867
518,"acaba, romper, corazón, pedazos",Tristeza,Alta,21926,Alto,2023-10-29 01:32:33,0.991
519,"comienza, semana, halloween, cada, contenido",Enfado,Media,2035,Bajo,2023-10-30 14:17:46,0.598
520,,Neutral,Alta,1189,Bajo,2023-10-31 17:44:03,0.954
521,"fiesta, trabajando, cabrón, cada, halloween",Alegría,Media,5967,Medio,2023-10-31 21:47:44,0.695
522,"nuevo, podcast, especial, terror, wild",Neutral,Alta,1367,Bajo,2023-11-01 15:59:38,0.962
523,"noche, terror, conmigo, directo, especial",Alegría,Alta,1052,Bajo,2023-11-03 20:27:14,0.945
524,"nuevo, vídeo, terminamos, semana, halloween",Neutral,Media,1184,Bajo,2023-11-05 14:38:46,0.747
525,"gente, renderizó, sonido, podcast, debo",Neutral,Alta,3450,Medio,2023-11-07 16:43:03,0.954
526,"nuevo, podcast, tenéis, sonido, maravilloso",Alegría,Alta,740,Bajo,2023-11-08 15:41:16,0.962
527,"muchos, años, esperando",Neutral,Media,36203,Alto,2023-11-08 15:43:46,0.593
528,"nuevo, podcast, vamos, romper, tabú",Neutral,Media,1520,Bajo,2023-11-10 15:20:53,0.734
529,"nuevo, podcast, tertulia, cada, semana",Neutral,Media,790,Bajo,2023-11-14 16:43:23,0.637
530,"nuevo, podcast, regresa, tertulia, bombazo",Neutral,Alta,730,Bajo,2023-11-21 17:04:26,0.887
531,"regresa, dogfight, wild, tournament, bare",Alegría,Alta,10333,Alto,2023-11-22 14:00:44,0.805
532,"holy, shit",Sorpresa,Media,3880,Medio,2023-11-23 11:32:18,0.671
533,"broma, gusto, fondo, gustaría, fallecido",Tristeza,Alta,30886,Alto,2023-11-28 15:45:32,0.774
534,"estaré, directo, salva, albert, haciendo",Neutral,Alta,495,Bajo,2023-12-03 18:30:59,0.962
535,"salida, trailer, podemos, terminado",Neutral,Alta,17260,Alto,2023-12-04 23:52:33,0.977
536,comprado,Neutral,Alta,22123,Alto,2023-12-05 00:09:29,0.95
537,"protagonistas, sean, pareja, parece, brutal",Alegría,Alta,36401,Alto,2023-12-05 02:11:35,0.757
538,"grande, referencia, padre",Alegría,Alta,36841,Alto,2023-12-05 23:17:17,0.945
539,"puesto, entradas, extra, venta, dogfight",Neutral,Alta,970,Bajo,2023-12-06 13:44:31,0.979
540,"hideo, kojima, terror, perfección",Alegría,Baja,4169,Medio,2023-12-08 02:38:58,0.492
541,"baldur, gate, goty, juego, década",Neutral,Alta,10720,Alto,2023-12-08 04:04:49,0.992
542,"abra, debate, problema, salud, obesidad",Neutral,Media,30631,Alto,2023-12-08 14:46:41,0.739
543,"bueno, hemos, perdido, equipo, grande",Neutral,Alta,5044,Medio,2023-12-10 22:21:10,0.949
544,"joder, pues, habla, juan",Neutral,Media,10880,Alto,2023-12-13 17:15:01,0.521
545,"nueva, social, fuera, coñas, podéis",Neutral,Media,314,Bajo,2023-12-16 15:58:13,0.664
546,"latinos, pueden, confirmar",Neutral,Alta,16402,Alto,2023-12-17 03:16:04,0.91
547,"tony, ferguson, queremos, eres, leyenda",Neutral,Alta,3118,Medio,2023-12-17 04:02:50,0.962
548,"españoles, confirmen",Neutral,Alta,59786,Viral,2023-12-18 14:56:27,0.807
549,"especial, navidad, directo, tarde, wild",Alegría,Alta,991,Bajo,2023-12-19 13:58:34,0.956
550,"participación, rewind, hispano, repartiendo, cera",Neutral,Media,7376,Medio,2023-12-22 22:54:15,0.639
551,"feliz, navidad",Alegría,Alta,23577,Alto,2023-12-25 16:46:08,0.942
552,"verdad, muerto, black, alien, novia",Neutral,Baja,18510,Alto,2023-12-26 23:13:58,0.468
553,"corea, suicidios, algunos, abran, ojos",Tristeza,Media,23458,Alto,2023-12-27 11:17:09,0.728
554,"estáis, jodidos, tocado, pasar, casa",Tristeza,Alta,65472,Viral,2023-12-31 23:14:06,0.761
555,"rellena, texto",Neutral,Alta,30788,Alto,2024-01-05 22:07:15,0.991
556,posibilidades,Neutral,Media,6699,Medio,2024-01-08 00:31:54,0.648
557,"otro, estuve, horas, podcast, amigo",Neutral,Alta,2221,Bajo,2024-01-12 17:09:36,0.967
558,"estoy, tiempo, hacerme, madrid",Neutral,Alta,38885,Alto,2024-01-14 20:11:22,0.948
559,"debate, tendría, publicarlo, pornhub",Neutral,Alta,42992,Alto,2024-01-18 21:46:44,0.99
560,"bueno, joao, felix, quiere",Alegría,Alta,9943,Medio,2024-01-21 19:21:39,0.84
561,"tiburoooooon, torres",Alegría,Alta,8579,Medio,2024-01-21 19:23:56,0.795
562,"this, flat, earthers, think, attack",Neutral,Alta,449754,Viral,2024-01-24 02:10:38,0.844
563,"nintendo, elijo, usado, demanda, millonaria",Alegría,Alta,5231,Medio,2024-01-25 14:30:37,0.985
564,"cada, like, años, vida, fenómenos",Alegría,Alta,39388,Alto,2024-01-26 20:59:38,0.96
565,"legendario, carl, weathers, apollo, creed",Tristeza,Alta,18756,Alto,2024-02-02 20:13:27,0.991
566,"semana, dogfight, wild, tournament, impact",Neutral,Alta,4085,Medio,2024-02-05 17:18:44,0.986
567,"microsoft, anuncia, convierte, compañía, third",Enfado,Media,900,Bajo,2024-02-06 16:56:29,0.619
568,"careos, impact, directo, https, youtube",Neutral,Alta,3100,Medio,2024-02-08 18:47:40,0.91
569,"coño, pasado",Sorpresa,Alta,21318,Alto,2024-02-08 23:02:18,0.833
570,"quedan, horas, evento, tenemos, puto",Neutral,Alta,20280,Alto,2024-02-08 23:41:58,0.951
571,"comienza, dogfight, wild, tournament, impact",Neutral,Alta,7055,Medio,2024-02-09 18:14:30,0.977
572,gracias,Alegría,Alta,55017,Viral,2024-02-10 02:28:07,0.982
573,"marzo, sale, nuevo, libro, venta",Neutral,Alta,5666,Medio,2024-02-15 14:13:47,0.973
574,"nadie, perfecto, ganado, clip, siguientes",Alegría,Alta,17926,Alto,2024-02-16 21:41:38,0.972
575,"chica, imperfecta, genial",Neutral,Media,95818,Viral,2024-02-17 06:35:03,0.508
576,"locura, quién, lleva",Neutral,Alta,12185,Alto,2024-02-17 18:48:31,0.88
577,"ilia, finaliza, combate, tercer, round",Neutral,Alta,11977,Alto,2024-02-18 05:28:05,0.99
578,"quiero, gane, ilia, volkanovski, puto",Neutral,Alta,17955,Alto,2024-02-18 05:43:50,0.889
579,"dicho, ilia, topuria, campeón, mundo",Alegría,Alta,42303,Alto,2024-02-18 05:59:18,0.985
580,histórico,Neutral,Media,33226,Alto,2024-02-18 06:01:35,0.615
581,"gente, temas, personales, nada, malo",Alegría,Alta,7284,Medio,2024-02-27 14:32:52,0.865
582,"veces, odio, mundo, fallecido, forma",Tristeza,Alta,123584,Viral,2024-03-08 04:45:54,0.991
583,"épico, superbowl",Alegría,Baja,38406,Alto,2024-03-11 03:22:36,0.348
584,"diosito, solo, pido, cubarsí, lamine",Neutral,Alta,34786,Alto,2024-03-12 21:57:37,0.832
585,"sale, oficialmente, venta, nuevo, libro",Neutral,Alta,4320,Medio,2024-03-14 05:18:44,0.976
586,"regreso, rincón, vídeo, gustan, tanto",Neutral,Alta,1997,Bajo,2024-03-24 14:37:29,0.783
587,"estoy, preparando, debate, cambio, climático",Neutral,Alta,20409,Alto,2024-03-30 15:05:40,0.997
588,"amigos, gracias, perfiles, debate, cambio",Neutral,Alta,5889,Medio,2024-04-02 16:55:53,0.975
589,"viernes, estoy, madrid, firmando, nuevo",Neutral,Media,923,Bajo,2024-04-08 13:28:35,0.552
590,culés,Neutral,Alta,7732,Medio,2024-04-16 18:47:15,0.887
591,"orgulloso, perdido, expulsión, durísima, seguramente",Alegría,Alta,37459,Alto,2024-04-16 20:56:43,0.997
592,"cosas, pesadas, universo",Neutral,Alta,26507,Alto,2024-04-17 21:50:36,0.88
593,"buenas, noticias, anatomía, edición, chivado",Alegría,Alta,1282,Bajo,2024-04-22 20:02:49,0.97
594,"miau, real",Neutral,Media,3129,Medio,2024-05-08 20:05:25,0.517
595,"odio, madrid, serio",Enfado,Alta,46659,Alto,2024-05-08 20:56:36,0.813
596,real,Sorpresa,Alta,13979,Alto,2024-05-10 11:19:25,0.871
597,"cumple, papi, mundo, felicitarlo",Alegría,Alta,39767,Alto,2024-05-11 15:12:55,0.936
598,"oigan, planetadelibros, penguinlibros, podéis, dejar",Enfado,Alta,8722,Medio,2024-05-22 11:37:24,0.972
599,"apoyo, xavi, quizás, demasiado, buena",Enfado,Alta,24783,Alto,2024-05-24 12:01:25,0.873
600,"odio, haber, nacido, época",Neutral,Media,31944,Alto,2024-06-01 21:57:39,0.599
601,"estoy, directo, culés, salva, https",Neutral,Alta,409,Bajo,2024-06-02 18:20:06,0.971
602,"único, bueno, mbappé, fiche, madrid",Neutral,Baja,21084,Alto,2024-06-03 17:46:00,0.449
603,"mejor, conferencia, videojuegos, quizás, momento",Neutral,Media,3068,Medio,2024-06-07 22:59:25,0.716
604,"regalito, domingo, nuevo, vídeo, rincón",Alegría,Alta,906,Bajo,2024-06-09 14:21:00,0.992
605,"viernes, junio, estar, junto, papagiorgioreal",Neutral,Alta,725,Bajo,2024-06-10 17:47:15,0.915
606,"amigos, empieza, mundo",Neutral,Alta,11529,Alto,2024-06-10 19:31:59,0.967
607,"calentando, motores, liadas",Alegría,Baja,25499,Alto,2024-06-12 12:43:55,0.394
608,"will, smith, viene, cantar, darse",Neutral,Alta,6770,Medio,2024-06-13 19:22:29,0.949
609,"brutal, alguien, will, smith, actúe",Alegría,Alta,40971,Alto,2024-06-13 21:45:56,0.961
610,"hago, muchas, bromas, espanyol, alegro",Alegría,Alta,4302,Medio,2024-06-23 18:45:37,0.929
611,"venga, rompemos, internet, recordad, jesús",Neutral,Alta,14863,Alto,2024-06-28 13:01:35,0.972
612,"acabo, despertar, después, locura, ayer",Alegría,Alta,60927,Viral,2024-06-29 14:54:24,0.995
613,"mrtartaria, explica, santaolalla, ecuación, einsten",Neutral,Alta,19329,Alto,2024-06-29 17:37:01,0.994
614,surrealista,Sorpresa,Alta,73920,Viral,2024-06-30 22:16:36,0.872
615,"lamine, tiene, ningún, puto, sentido",Enfado,Alta,21324,Alto,2024-07-09 20:03:23,0.913
616,"alana, podría, competir, cualquiera, combates",Neutral,Alta,105010,Viral,2024-07-13 18:10:11,0.759
617,"espero, ficción, haga, realidad, miedo",Miedo,Alta,10434,Alto,2024-07-14 00:11:18,0.851
618,"sepáis, acaban, intentar, asesinar, trump",Sorpresa,Media,44869,Alto,2024-07-14 00:16:48,0.558
619,"mundo, tiene, sentido, mismo, hemos",Enfado,Alta,46837,Alto,2024-07-14 00:39:37,0.771
620,"gracias, placitaamarilla, darme, oportunidad, seguir",Alegría,Alta,1561,Bajo,2024-07-14 17:34:02,0.996
621,"pues, final, verdad, amor, único",Neutral,Alta,83770,Viral,2024-07-17 21:47:09,0.879
622,,Neutral,Media,57172,Viral,2024-07-19 14:50:19,0.663
623,"cada, bañito, patrón",Alegría,Alta,46345,Alto,2024-07-21 13:59:58,0.899
624,"hago, estornudo, motivo, madre, microsegundo",Neutral,Alta,4111,Medio,2024-07-31 13:56:28,0.965
625,"viendo, quieren, darse, hostias, invito",Neutral,Alta,52385,Viral,2024-08-01 12:52:28,0.993
626,"aparte, bromas, muchos, venezolanos, estáis",Neutral,Alta,23910,Alto,2024-08-01 14:26:20,0.974
627,"ojalá, puigdemont, hubiera, regresado, repente",Neutral,Alta,4932,Medio,2024-08-08 12:45:55,0.985
628,"frank, cuesta, yuyee, solo, diré",Neutral,Alta,61045,Viral,2024-08-14 12:46:31,0.962
629,"encantaría, tener, mariacorinaya, wild, project",Neutral,Alta,60941,Viral,2024-08-18 14:32:43,0.988
630,"aprovecho, meme, anunciar, wild, project",Alegría,Alta,8841,Medio,2024-09-06 13:49:32,0.762
631,"jueves, tarde, hora, española, regresa",Neutral,Media,7273,Medio,2024-09-09 14:43:06,0.581
632,"mañana, regresa, wild, project, vuelve",Alegría,Alta,7444,Medio,2024-09-11 12:21:37,0.993
633,"jueves, charla, maría, corina, machado",Neutral,Alta,59731,Viral,2024-09-11 21:19:10,0.988
634,"estoy, llorando",Tristeza,Media,134023,Viral,2024-09-13 03:12:02,0.716
635,"triple, threat, nicolás, maduro, jordi",Neutral,Alta,41120,Alto,2024-09-13 17:12:27,0.897
636,"toma, cambio, entrada, montes",Neutral,Alta,3147,Medio,2024-09-13 18:09:56,0.965
637,listo,Neutral,Media,14375,Alto,2024-09-13 18:37:34,0.585
638,"urgente, filtra, primer, asalto, triple",Neutral,Media,2124,Bajo,2024-09-13 18:43:44,0.544
639,"preguntándole, tebas, negreira, tito, floren",Alegría,Alta,12131,Alto,2024-09-19 12:38:32,0.827
640,"paso, mejor, podcast, europa, https",Alegría,Alta,307,Bajo,2024-09-26 18:46:25,0.951
641,"comienza, club, lucha, vida, real",Alegría,Alta,47353,Alto,2024-09-27 13:20:58,0.948
642,"comienza, club, lucha, https, youtu",Neutral,Alta,3402,Medio,2024-09-28 15:42:35,0.98
643,"retira, señor, rafael, nadal, parera",Alegría,Alta,14865,Alto,2024-10-10 14:15:31,0.959
644,"vuelve, mear, colonia",Neutral,Alta,17766,Alto,2024-10-20 20:57:16,0.849
645,"bueno, ilia, madre, parió",Neutral,Baja,24785,Alto,2024-10-26 20:50:18,0.413
646,"mete, tremenda, golpiza, madrid, topuria",Neutral,Alta,40929,Alto,2024-10-26 20:58:20,0.918
647,"comienza, semana, halloween, cada, vídeo",Neutral,Media,3972,Medio,2024-10-27 16:11:08,0.514
648,"amigos, días, desaparecido, estoy, pasando",Tristeza,Media,81400,Viral,2024-11-01 10:23:48,0.698
649,"difícil, tocado, escribir, vida, pesadilla",Tristeza,Alta,626172,Viral,2024-11-05 13:43:06,0.992
650,"pasado, varias, personas, quién, creador",Tristeza,Alta,446344,Viral,2024-11-06 22:07:47,0.963
651,"vuelvo, trabajo, podcast, dedico, padre",Alegría,Alta,113298,Viral,2024-11-19 14:12:56,0.913
652,"podcast, invitado, fechas, pensaba, otra",Alegría,Alta,39525,Alto,2024-11-28 18:54:20,0.987
653,"ojito, estoy, preparando, peleas, club",Alegría,Alta,14405,Alto,2024-12-21 15:25:59,0.927
654,"último, podcast, mismo, querido, illojuan",Neutral,Alta,4367,Medio,2024-12-22 13:47:09,0.838
655,"enero, olimpic, arena, badalona, dogfight",Alegría,Alta,13383,Alto,2024-12-22 17:13:51,0.964
656,"amigos, días, siendo, fáciles, madre",Alegría,Alta,126472,Viral,2024-12-24 21:00:06,0.991
657,"después, parón, motivos, familiares, sabéis",Alegría,Alta,1637,Bajo,2024-12-28 16:21:18,0.951
658,"enero, mejor, diciembre",Neutral,Alta,54751,Viral,2024-12-31 16:37:16,0.79
659,"tienen, años, semifinalistas, mundial, dardos",Neutral,Alta,32616,Alto,2025-01-03 17:15:09,0.986
660,"comienza, puesto, villano, cómic, régimen",Alegría,Alta,127253,Viral,2025-01-08 14:20:05,0.763
661,"lamine, yamal, appreciation, post",Neutral,Alta,15532,Alto,2025-01-12 21:16:06,0.887
662,"puedo, pqrticipar, estoy, dogfight, hasta",Alegría,Alta,5825,Medio,2025-01-15 18:08:29,0.877
663,"pues, bueno, puedo, japón",Neutral,Alta,107801,Viral,2025-01-17 00:13:46,0.929
664,"amigos, winamaxdeportes, sortean, entradas, dobles",Alegría,Alta,644,Bajo,2025-01-17 20:04:07,0.991
665,"quedan, días, casi, entradas, agotadas",Neutral,Media,1185,Bajo,2025-01-21 18:20:14,0.583
666,"emilia, pérez, nominaciones, oscar, película",Neutral,Alta,15018,Alto,2025-01-23 19:11:27,0.898
667,"nuevo, vídeo, rincón, giorgio, caso",Neutral,Alta,1630,Bajo,2025-01-26 15:36:09,0.889
668,"semana, dogfight, miércoles, directito, elxokas",Alegría,Alta,11724,Alto,2025-01-28 15:02:01,0.95
669,"bonico, elxokas, minutos, directo, especial",Alegría,Alta,6646,Medio,2025-01-29 18:03:17,0.899
670,"gracias, elxokas, regalo, importante, vosotros",Alegría,Alta,187821,Viral,2025-01-29 23:06:10,0.994
671,"horita, tenemos, careos, https, youtube",Neutral,Alta,2455,Bajo,2025-01-30 18:04:59,0.939
672,"unas, horas, llega, evento, caótico",Neutral,Alta,2624,Bajo,2025-01-30 22:53:04,0.888
673,"amigos, winamaxdeportes, preparado, universo, apuestas",Alegría,Media,2563,Bajo,2025-01-31 12:49:13,0.583
674,"https, youtube, live",Neutral,Alta,7567,Medio,2025-01-31 16:43:34,0.986
675,"bueno, estoy, casa, gracias, cariño",Alegría,Alta,54852,Viral,2025-02-01 06:36:26,0.997
676,"mejor, cartel, historia, insuperable",Alegría,Alta,4981,Medio,2025-02-05 14:35:42,0.936
677,"casita, cuadro, elxokas, regaló, verdad",Alegría,Alta,180664,Viral,2025-02-09 14:02:14,0.989
678,"kanye, west, está, liando, tanto",Neutral,Alta,39207,Alto,2025-02-09 16:27:53,0.895
679,"real, confirman",Sorpresa,Alta,13698,Alto,2025-02-10 14:18:39,0.799
680,"muerto, gene, hackman, actores, favoritos",Tristeza,Alta,4529,Medio,2025-02-27 14:39:23,0.88
681,"conozco, nadie, haya, dado, vida",Enfado,Media,133366,Viral,2025-02-28 14:32:34,0.736
682,"zelensky, trump, velada, main, event",Neutral,Alta,19247,Alto,2025-02-28 19:22:17,0.932
683,"creado, realidad, paralela, demi, moore",Alegría,Alta,11196,Alto,2025-03-03 04:31:40,0.985
684,"preferida, brutalist, anora, encantó, alegro",Alegría,Alta,5077,Medio,2025-03-03 05:39:37,0.997
685,"problemas, técnicos, habrá, podcast, semana",Alegría,Alta,4981,Medio,2025-03-06 18:48:43,0.854
686,"puedes, fútbol, guste, flick",Neutral,Alta,63966,Viral,2025-03-16 22:00:38,0.984
687,"hago, trend, amigos, pasan, japoneses",Neutral,Alta,21128,Alto,2025-03-30 18:39:46,0.951
688,"termina, trend, studio, ghibli, paso",Neutral,Alta,14447,Alto,2025-03-31 12:44:13,0.989
689,"vamos, acabar, debate, switch, cara",Neutral,Alta,2493,Bajo,2025-04-02 17:53:24,0.961
690,"tema, switch, precio, consola, parece",Enfado,Alta,25809,Alto,2025-04-03 13:59:11,0.831
691,"quiénes, solo, respuestas, incorrectas",Neutral,Alta,6911,Medio,2025-04-07 22:26:51,0.994
692,"china, estados, unidos, mismo",Neutral,Alta,9279,Medio,2025-04-09 20:59:02,0.991
693,"dadle, cariño, colega, tania, mañana",Neutral,Media,774,Bajo,2025-04-11 14:07:59,0.627
694,"puta, fiesta, partido",Neutral,Baja,29525,Alto,2025-04-19 16:25:45,0.462
695,"feliz, sant, jordi, mejor, jamás",Alegría,Alta,85319,Viral,2025-04-23 13:28:16,0.994
696,"traigo, pedro, baños, empieza, guerra",Neutral,Alta,92404,Viral,2025-04-28 15:22:04,0.966
697,"equipo, divertido, historia",Alegría,Media,27192,Alto,2025-04-30 19:41:17,0.527
698,serio,Sorpresa,Alta,12797,Alto,2025-04-30 20:25:25,0.957
699,"tiene, pinta, tardan, años",Neutral,Media,63714,Viral,2025-05-06 13:54:25,0.741
700,"visca, collons",Alegría,Alta,23224,Alto,2025-05-06 20:20:06,0.99
701,"vale, estoy, aterrado",Sorpresa,Alta,40568,Alto,2025-05-20 19:02:14,0.778
702,"vuelven, combates, club, lucha, https",Alegría,Baja,437,Bajo,2025-05-31 14:32:09,0.42
703,"cojones, https, elonmusk, statu, status",Sorpresa,Media,28296,Alto,2025-06-05 20:02:34,0.735
704,"musk, trump, pasado, goku, vegeta",Neutral,Alta,13020,Alto,2025-06-05 22:47:48,0.92
705,"mejor, novela, desde, rosa, guadalupe",Alegría,Alta,115331,Viral,2025-06-07 00:03:24,0.893
706,"youtube, increíble, puesto, restricción, edad",Enfado,Media,29651,Alto,2025-06-10 13:25:02,0.61
707,"estoy, directo, gran, josebas, auténtico",Alegría,Alta,528,Bajo,2025-06-16 18:12:39,0.963
708,"joan, garcía, dejando, espanyol, drama",Neutral,Alta,11649,Alto,2025-06-18 15:25:08,0.98
709,"semanas, julio, llega, especial, verano",Neutral,Alta,10753,Alto,2025-06-20 17:11:22,0.798
710,"donald, trump, presidente, nunca, metía",Neutral,Media,33179,Alto,2025-06-22 02:34:20,0.538
711,"equivoquéis, régimen, iran, parece, asquerosos",Enfado,Alta,47362,Alto,2025-06-22 03:18:14,0.817
712,"gente, estoy, directo, salva, albert",Neutral,Alta,805,Bajo,2025-06-22 19:29:05,0.995
713,"toca, estar, amigo, podcast, horas",Neutral,Media,2374,Bajo,2025-06-23 18:13:44,0.748
714,"topuria, tiene, estar, conversación, mejor",Neutral,Alta,69791,Viral,2025-06-29 05:03:04,0.857
715,"real, life",Neutral,Alta,7759,Medio,2025-07-03 15:35:37,0.979
716,"mañana, hacemos, historia, wild, project",Neutral,Media,4150,Medio,2025-07-03 15:38:25,0.669
717,charlito,Neutral,Media,6824,Medio,2025-07-06 01:03:57,0.581
718,"vamo, juga",Neutral,Alta,6942,Medio,2025-07-11 14:03:24,0.776
719,"muerto, jodido, ozzy, osbourne, grandes",Tristeza,Alta,21255,Alto,2025-07-22 18:59:04,0.95
720,"casa, horrores, solo, sabios, entenderan",Neutral,Alta,8986,Medio,2025-07-25 12:55:43,0.932
721,"bueno, acabaron, vacaciones, martes, septiembre",Alegría,Alta,11162,Alto,2025-09-07 13:19:58,0.99
722,"vuelve, wild, project, regresamos, hermosa",Alegría,Alta,2228,Bajo,2025-09-09 11:12:37,0.996
723,"vienen, cositas",Neutral,Media,1366,Bajo,2025-09-19 16:15:58,0.65
724,"venga, miércoles, regresa, rincón, giorgio",Neutral,Alta,4708,Medio,2025-09-30 22:10:59,0.795
725,"bueno, pasado, boom, moralistas, charitos",Neutral,Alta,45279,Alto,2025-10-16 10:44:24,0.975
726,"cierto, entiendo, meristation, estáis, horas",Neutral,Alta,16479,Alto,2025-10-16 12:26:12,0.987
727,"termino, tema, comentaré, próxima, tertulia",Neutral,Alta,9971,Medio,2025-10-16 13:49:55,0.996
728,"nuevo, podcast, periodistas, jorge, saucedo",Neutral,Alta,1965,Bajo,2025-10-16 18:39:37,0.954
729,"orgullo, tener, delante, gustavo, santaolalla",Alegría,Alta,24073,Alto,2025-10-24 15:59:08,0.995
730,"especial, halloween, wild, project, beatriz",Neutral,Alta,1587,Bajo,2025-10-30 16:29:38,0.98
731,"pues, acabó, guerra, consolas",Neutral,Alta,17316,Alto,2025-11-12 22:38:44,0.942
732,"vale, definitivamente, hemos, hecho, viejos",Neutral,Alta,23335,Alto,2025-12-10 20:25:52,0.974
733,"podcast, mayores, genios, física, cuántica",Neutral,Media,1499,Bajo,2025-12-11 16:20:55,0.691
734,"leon, resident, evil, está, thegameawards",Neutral,Media,31414,Alto,2025-12-12 01:51:24,0.631
735,"expedition, grandísimo, juego, goty, kingdom",Neutral,Alta,10702,Alto,2025-12-12 04:16:10,0.878
736,"expedition, solo, faltado, ganar, mejor",Neutral,Alta,5496,Medio,2025-12-12 04:22:56,0.945
737,"entre, donaciones, vuestras, semana, donado",Alegría,Alta,24571,Alto,2025-12-20 16:12:52,0.996
738,"tíos, cena, navidad, tercera, copa",Neutral,Baja,9183,Medio,2025-12-23 14:31:56,0.497
739,"estoy, borracho, felzi",Alegría,Alta,14935,Alto,2026-01-01 03:40:58,0.966
740,"maduro, quién, está, seco, venga",Neutral,Alta,182046,Viral,2026-01-03 12:55:14,0.954
741,"podcast, especial, detención, nicolás, maduro",Neutral,Alta,4060,Medio,2026-01-04 19:57:38,0.996
742,"lamine, futuro, auténtico, líder, raphinha",Neutral,Alta,52632,Viral,2026-01-11 19:38:54,0.905
743,"visca, hostia, partidazo, equipos",Alegría,Alta,26288,Alto,2026-01-11 21:07:00,0.997
744,"menos, competido",Neutral,Alta,28978,Alto,2026-01-14 22:14:14,0.958
745,raphinha,Neutral,Alta,6857,Medio,2026-01-18 22:09:24,0.923
746,míos,Alegría,Media,24553,Alto,2026-01-20 23:03:42,0.715
747,"inicios, tenemos, cárcel, arkham, vida",Neutral,Alta,8971,Medio,2026-02-19 16:04:25,0.956
748,"pequeño, decían, futuro, coches, volarían",Neutral,Alta,61781,Viral,2026-02-20 03:26:47,0.9
749,"vienen, cosas, semana, hoynuevo, caso",Neutral,Alta,2376,Bajo,2026-02-22 13:53:57,0.764
750,"vuelve, tradición, residente, descanso, rincón",Neutral,Alta,4503,Medio,2026-02-26 14:25:57,0.911
751,"viendo, joya, tradición, residente, jordiwild",Alegría,Baja,0,Bajo,2026-02-27 08:49:19,0.449
752,"main, event, merecíamos",Neutral,Alta,23387,Alto,2026-03-09 22:11:46,0.887
753,"showtime, coming, theaters, june",Neutral,Alta,231010,Viral,2026-03-18 17:25:05,0.971
754,"http, checoperez, live, everything, checo",Neutral,Alta,7496,Medio,2026-03-18 17:35:10,0.988
755,"comentario, estúpido",Enfado,Alta,1,Bajo,2026-03-18 20:07:00,0.803
756,"famous, british, comedian, bean, feel",Enfado,Baja,157478,Viral,2026-03-18 20:56:20,0.478
757,"bubble, butt",Neutral,Media,89728,Viral,2026-03-18 23:04:35,0.747
758,mean,Neutral,Alta,41419,Alto,2026-03-19 01:07:51,0.932
